empnum,costcenterlv2,effectivedate
GH00618,Main App Tech,
GH00619,Product QA,
GH00620,Main App Tech,
GH00621,Crypto Pay Tech,
GH00622,Main App Tech,
GH00623,Main App Tech,
GH00624,Main App Tech,
GH00625,NFT Tech,
GH00626,Others Tech,
GH00627,NFT Tech,
GH00628,Quant,
GH00629,Others Tech,
GH00630,Main App Tech,
GH00631,NFT Tech,
GH00632,Main App Tech,
GH00633,Others Tech,
GH00634,Others Tech,
GH00635,Main App Tech,
GH00636,Main App Tech,
GH00637,Crypto Pay Tech,
GH00638,Others Tech,
GH00639,Product QA,
GH00640,Main App Tech,
GH00641,Others Tech,
GH00641,Cronos,13/9/2022
GH00641,Others Tech,1/1/2023
GH00642,Main App Tech,
GH00643,Main App Tech,
GH00644,Others Tech,
GH00647,Product QA,
GH00648,Product QA,
GH00649,Product QA,
