empnum,exitdate,exittype,exitreason
2212,2022-07-12,Termination (Involuntary),Redundancy
2279,2022-07-12,Termination (Involuntary),Redundancy
2376,2022-07-12,Termination (Involuntary),Redundancy
2388,2022-07-12,Termination (Involuntary),Redundancy
2599,2022-07-12,Termination (Involuntary),Redundancy
2617,2022-07-12,Termination (Involuntary),Redundancy
2888,2022-07-12,Termination (Involuntary),Redundancy
3171,2022-07-12,Termination (Involuntary),Redundancy
3174,2022-07-12,Termination (Involuntary),Redundancy
3430,2022-07-12,Termination (Involuntary),Redundancy
3456,2022-07-12,Termination (Involuntary),Redundancy
3493,2022-07-12,Termination (Involuntary),Redundancy
3560,2022-07-12,Termination (Involuntary),Redundancy
3563,2022-07-12,Termination (Involuntary),Redundancy
3586,2022-07-12,Termination (Involuntary),Redundancy
3737,2022-07-12,Termination (Involuntary),Redundancy
3933,2022-07-12,Termination (Involuntary),Redundancy
3937,2022-07-12,Termination (Involuntary),Redundancy
3971,2022-07-12,Termination (Involuntary),Redundancy
4029,2022-07-12,Termination (Involuntary),Redundancy
4057,2022-07-12,Termination (Involuntary),Redundancy
4171,2022-07-12,Termination (Involuntary),Redundancy
4223,2022-07-12,Termination (Involuntary),Redundancy
4230,2022-07-12,Termination (Involuntary),Redundancy
4376,2022-07-12,Termination (Involuntary),Redundancy
4415,2022-07-12,Termination (Involuntary),Redundancy
4431,2022-07-12,Termination (Involuntary),Redundancy
521,2022-07-09,Termination (Involuntary),Redundancy
1668,2022-07-09,Termination (Involuntary),Redundancy
3501,2022-07-09,Termination (Involuntary),Redundancy
3587,2022-07-09,Termination (Involuntary),Redundancy
4351,2022-07-09,Termination (Involuntary),Redundancy
4700,2022-07-09,Termination (Involuntary),Redundancy
1683,2022-07-08,Termination (Involuntary),Redundancy
1690,2022-07-08,Termination (Involuntary),Redundancy
1699,2022-07-08,Termination (Involuntary),Redundancy
1701,2022-07-08,Termination (Involuntary),Redundancy
1703,2022-07-08,Termination (Involuntary),Redundancy
1709,2022-07-08,Termination (Involuntary),Redundancy
1816,2022-07-08,Termination (Involuntary),Redundancy
1818,2022-07-08,Termination (Involuntary),Redundancy
1820,2022-07-08,Termination (Involuntary),Redundancy
1848,2022-07-08,Termination (Involuntary),Redundancy
1898,2022-07-08,Termination (Involuntary),Redundancy
2006,2022-07-08,Termination (Involuntary),Redundancy
2010,2022-07-08,Termination (Involuntary),Redundancy
2013,2022-07-08,Termination (Involuntary),Redundancy
2015,2022-07-08,Termination (Involuntary),Redundancy
2030,2022-07-08,Termination (Involuntary),Redundancy
2031,2022-07-08,Termination (Involuntary),Redundancy
2045,2022-07-08,Termination (Involuntary),Redundancy
2235,2022-07-08,Termination (Involuntary),Redundancy
2237,2022-07-08,Termination (Involuntary),Redundancy
2243,2022-07-08,Termination (Involuntary),Redundancy
2256,2022-07-08,Termination (Involuntary),Redundancy
2296,2022-07-08,Termination (Involuntary),Redundancy
2303,2022-07-08,Termination (Involuntary),Redundancy
2306,2022-07-08,Termination (Involuntary),Redundancy
2373,2022-07-08,Termination (Involuntary),Redundancy
2378,2022-07-08,Termination (Involuntary),Redundancy
2379,2022-07-08,Termination (Involuntary),Redundancy
2392,2022-07-08,Termination (Involuntary),Redundancy
2400,2022-07-08,Termination (Involuntary),Redundancy
2401,2022-07-08,Termination (Involuntary),Redundancy
2542,2022-07-08,Termination (Involuntary),Redundancy
2567,2022-07-08,Termination (Involuntary),Redundancy
2571,2022-07-08,Termination (Involuntary),Redundancy
2596,2022-07-08,Termination (Involuntary),Redundancy
2615,2022-07-08,Termination (Involuntary),Redundancy
2623,2022-07-08,Termination (Involuntary),Redundancy
2634,2022-07-08,Termination (Involuntary),Redundancy
2764,2022-07-08,Termination (Involuntary),Redundancy
3669,2022-07-08,Termination (Involuntary),Redundancy
4062,2022-07-08,Termination (Involuntary),Redundancy
4391,2022-07-08,Termination (Involuntary),Redundancy
4410,2022-07-08,Termination (Involuntary),Redundancy
4774,2022-07-08,Termination (Involuntary),Redundancy
5379,2022-07-08,Termination (Involuntary),Redundancy
5394,2022-07-08,Termination (Involuntary),Redundancy
1671,2022-07-07,Termination (Involuntary),Redundancy
2032,2022-07-07,Termination (Involuntary),Redundancy
2582,2022-07-07,Termination (Involuntary),Redundancy
3525,2022-07-07,Termination (Involuntary),Redundancy
3661,2022-07-07,Termination (Involuntary),Redundancy
3921,2022-07-07,Termination (Involuntary),Redundancy
3985,2022-07-07,Termination (Involuntary),Redundancy
4000,2022-07-07,Termination (Involuntary),Redundancy
4155,2022-07-07,Termination (Involuntary),Redundancy
4158,2022-07-07,Termination (Involuntary),Redundancy
4163,2022-07-07,Termination (Involuntary),Redundancy
4184,2022-07-07,Termination (Involuntary),Redundancy
4188,2022-07-07,Termination (Involuntary),Redundancy
4191,2022-07-07,Termination (Involuntary),Redundancy
4194,2022-07-07,Termination (Involuntary),Redundancy
4198,2022-07-07,Termination (Involuntary),Redundancy
4201,2022-07-07,Termination (Involuntary),Redundancy
4203,2022-07-07,Termination (Involuntary),Redundancy
4358,2022-07-07,Termination (Involuntary),Redundancy
4364,2022-07-07,Termination (Involuntary),Redundancy
4388,2022-07-07,Termination (Involuntary),Redundancy
4389,2022-07-07,Termination (Involuntary),Redundancy
4420,2022-07-07,Termination (Involuntary),Redundancy
4629,2022-07-07,Termination (Involuntary),Redundancy
4631,2022-07-07,Termination (Involuntary),Redundancy
4637,2022-07-07,Termination (Involuntary),Redundancy
4641,2022-07-07,Termination (Involuntary),Redundancy
4647,2022-07-07,Termination (Involuntary),Redundancy
4819,2022-07-07,Termination (Involuntary),Redundancy
4820,2022-07-07,Termination (Involuntary),Redundancy
4821,2022-07-07,Termination (Involuntary),Redundancy
4823,2022-07-07,Termination (Involuntary),Redundancy
4825,2022-07-07,Termination (Involuntary),Redundancy
4826,2022-07-07,Termination (Involuntary),Redundancy
4827,2022-07-07,Termination (Involuntary),Redundancy
5062,2022-07-07,Termination (Involuntary),Redundancy
5064,2022-07-07,Termination (Involuntary),Redundancy
5066,2022-07-07,Termination (Involuntary),Redundancy
5067,2022-07-07,Termination (Involuntary),Redundancy
5396,2022-07-07,Termination (Involuntary),Redundancy
780,2022-07-06,Termination (Involuntary),Redundancy
857,2022-07-06,Termination (Involuntary),Redundancy
969,2022-07-06,Termination (Involuntary),Redundancy
972,2022-07-06,Termination (Involuntary),Redundancy
1046,2022-07-06,Termination (Involuntary),Redundancy
1129,2022-07-06,Termination (Involuntary),Redundancy
1686,2022-07-06,Termination (Involuntary),Redundancy
1814,2022-07-06,Termination (Involuntary),Redundancy
1821,2022-07-06,Termination (Involuntary),Redundancy
2011,2022-07-06,Termination (Involuntary),Redundancy
2012,2022-07-06,Termination (Involuntary),Redundancy
2017,2022-07-06,Termination (Involuntary),Redundancy
2021,2022-07-06,Termination (Involuntary),Redundancy
2022,2022-07-06,Termination (Involuntary),Redundancy
2029,2022-07-06,Termination (Involuntary),Redundancy
2384,2022-07-06,Termination (Involuntary),Redundancy
2387,2022-07-06,Termination (Involuntary),Redundancy
2394,2022-07-06,Termination (Involuntary),Redundancy
2402,2022-07-06,Termination (Involuntary),Redundancy
2445,2022-07-06,Termination (Involuntary),Redundancy
2560,2022-07-06,Termination (Involuntary),Redundancy
2586,2022-07-06,Termination (Involuntary),Redundancy
2590,2022-07-06,Termination (Involuntary),Redundancy
2636,2022-07-06,Termination (Involuntary),Redundancy
2659,2022-07-06,Termination (Involuntary),Redundancy
2682,2022-07-06,Termination (Involuntary),Redundancy
2685,2022-07-06,Termination (Involuntary),Redundancy
2686,2022-07-06,Termination (Involuntary),Redundancy
2689,2022-07-06,Termination (Involuntary),Redundancy
2694,2022-07-06,Termination (Involuntary),Redundancy
2695,2022-07-06,Termination (Involuntary),Redundancy
2698,2022-07-06,Termination (Involuntary),Redundancy
2766,2022-07-06,Termination (Involuntary),Redundancy
2892,2022-07-06,Termination (Involuntary),Redundancy
3381,2022-07-06,Termination (Involuntary),Redundancy
3382,2022-07-06,Termination (Involuntary),Redundancy
3383,2022-07-06,Termination (Involuntary),Redundancy
3385,2022-07-06,Termination (Involuntary),Redundancy
3386,2022-07-06,Termination (Involuntary),Redundancy
3435,2022-07-06,Termination (Involuntary),Redundancy
3496,2022-07-06,Termination (Involuntary),Redundancy
3510,2022-07-06,Termination (Involuntary),Redundancy
3518,2022-07-06,Termination (Involuntary),Redundancy
3529,2022-07-06,Termination (Involuntary),Redundancy
3535,2022-07-06,Termination (Involuntary),Redundancy
3548,2022-07-06,Termination (Involuntary),Redundancy
3551,2022-07-06,Termination (Involuntary),Redundancy
3556,2022-07-06,Termination (Involuntary),Redundancy
3653,2022-07-06,Termination (Involuntary),Redundancy
3659,2022-07-06,Termination (Involuntary),Redundancy
3662,2022-07-06,Termination (Involuntary),Redundancy
3667,2022-07-06,Termination (Involuntary),Redundancy
3668,2022-07-06,Termination (Involuntary),Redundancy
3699,2022-07-06,Termination (Involuntary),Redundancy
3731,2022-07-06,Termination (Involuntary),Redundancy
3736,2022-07-06,Termination (Involuntary),Redundancy
3739,2022-07-06,Termination (Involuntary),Redundancy
3851,2022-07-06,Termination (Involuntary),Redundancy
3920,2022-07-06,Termination (Involuntary),Redundancy
3922,2022-07-06,Termination (Involuntary),Redundancy
3923,2022-07-06,Termination (Involuntary),Redundancy
3943,2022-07-06,Termination (Involuntary),Redundancy
3995,2022-07-06,Termination (Involuntary),Redundancy
3997,2022-07-06,Termination (Involuntary),Redundancy
3998,2022-07-06,Termination (Involuntary),Redundancy
4004,2022-07-06,Termination (Involuntary),Redundancy
4010,2022-07-06,Termination (Involuntary),Redundancy
4012,2022-07-06,Termination (Involuntary),Redundancy
4013,2022-07-06,Termination (Involuntary),Redundancy
4014,2022-07-06,Termination (Involuntary),Redundancy
4016,2022-07-06,Termination (Involuntary),Redundancy
4150,2022-07-06,Termination (Involuntary),Redundancy
4187,2022-07-06,Termination (Involuntary),Redundancy
4225,2022-07-06,Termination (Involuntary),Redundancy
4354,2022-07-06,Termination (Involuntary),Redundancy
4355,2022-07-06,Termination (Involuntary),Redundancy
4359,2022-07-06,Termination (Involuntary),Redundancy
4360,2022-07-06,Termination (Involuntary),Redundancy
4386,2022-07-06,Termination (Involuntary),Redundancy
4387,2022-07-06,Termination (Involuntary),Redundancy
4390,2022-07-06,Termination (Involuntary),Redundancy
4396,2022-07-06,Termination (Involuntary),Redundancy
4411,2022-07-06,Termination (Involuntary),Redundancy
4418,2022-07-06,Termination (Involuntary),Redundancy
4419,2022-07-06,Termination (Involuntary),Redundancy
4459,2022-07-06,Termination (Involuntary),Redundancy
4628,2022-07-06,Termination (Involuntary),Redundancy
4630,2022-07-06,Termination (Involuntary),Redundancy
4636,2022-07-06,Termination (Involuntary),Redundancy
4638,2022-07-06,Termination (Involuntary),Redundancy
4639,2022-07-06,Termination (Involuntary),Redundancy
4640,2022-07-06,Termination (Involuntary),Redundancy
4642,2022-07-06,Termination (Involuntary),Redundancy
4643,2022-07-06,Termination (Involuntary),Redundancy
4644,2022-07-06,Termination (Involuntary),Redundancy
4645,2022-07-06,Termination (Involuntary),Redundancy
4646,2022-07-06,Termination (Involuntary),Redundancy
4648,2022-07-06,Termination (Involuntary),Redundancy
5393,2022-07-06,Termination (Involuntary),Redundancy
1095,2022-07-05,Termination (Involuntary),Redundancy
1098,2022-07-05,Termination (Involuntary),Redundancy
1291,2022-07-05,Termination (Involuntary),Redundancy
1556,2022-07-05,Termination (Involuntary),Redundancy
1602,2022-07-05,Termination (Involuntary),Redundancy
1852,2022-07-05,Termination (Involuntary),Redundancy
1921,2022-07-05,Termination (Involuntary),Redundancy
1950,2022-07-05,Termination (Involuntary),Redundancy
2076,2022-07-05,Termination (Involuntary),Redundancy
2194,2022-07-05,Termination (Involuntary),Redundancy
3440,2022-07-05,Termination (Involuntary),Redundancy
3568,2022-07-05,Termination (Involuntary),Redundancy
3821,2022-07-05,Termination (Involuntary),Redundancy
4173,2022-07-05,Termination (Involuntary),Redundancy
4241,2022-07-05,Termination (Involuntary),Redundancy
4344,2022-07-05,Termination (Involuntary),Redundancy
4428,2022-07-05,Termination (Involuntary),Redundancy
4593,2022-07-05,Termination (Involuntary),Redundancy
4605,2022-07-05,Termination (Involuntary),Redundancy
4675,2022-07-05,Termination (Involuntary),Redundancy
4686,2022-07-05,Termination (Involuntary),Redundancy
4725,2022-07-05,Termination (Involuntary),Redundancy
4848,2022-07-05,Termination (Involuntary),Redundancy
4860,2022-07-05,Termination (Involuntary),Redundancy
5092,2022-07-05,Termination (Involuntary),Redundancy
5134,2022-07-05,Termination (Involuntary),Redundancy
5166,2022-07-05,Termination (Involuntary),Redundancy
5240,2022-07-05,Termination (Involuntary),Redundancy
5416,2022-07-05,Termination (Involuntary),Redundancy
5429,2022-07-05,Termination (Involuntary),Redundancy
262,2022-07-02,Termination (Involuntary),Redundancy
342,2022-07-02,Termination (Involuntary),Redundancy
367,2022-07-02,Termination (Involuntary),Redundancy
429,2022-07-02,Termination (Involuntary),Redundancy
589,2022-07-02,Termination (Involuntary),Redundancy
617,2022-07-02,Termination (Involuntary),Redundancy
722,2022-07-02,Termination (Involuntary),Redundancy
735,2022-07-02,Termination (Involuntary),Redundancy
1091,2022-07-02,Termination (Involuntary),Redundancy
1199,2022-07-02,Termination (Involuntary),Redundancy
1236,2022-07-02,Termination (Involuntary),Redundancy
1327,2022-07-02,Termination (Involuntary),Redundancy
1585,2022-07-02,Termination (Involuntary),Redundancy
1598,2022-07-02,Termination (Involuntary),Redundancy
1745,2022-07-02,Termination (Involuntary),Redundancy
2077,2022-07-02,Termination (Involuntary),Redundancy
2285,2022-07-02,Termination (Involuntary),Redundancy
2289,2022-07-02,Termination (Involuntary),Redundancy
2313,2022-07-02,Termination (Involuntary),Redundancy
2455,2022-07-02,Termination (Involuntary),Redundancy
2506,2022-07-02,Termination (Involuntary),Redundancy
3006,2022-07-02,Termination (Involuntary),Redundancy
3052,2022-07-02,Termination (Involuntary),Redundancy
3476,2022-07-02,Termination (Involuntary),Redundancy
3492,2022-07-02,Termination (Involuntary),Redundancy
3872,2022-07-02,Termination (Involuntary),Redundancy
3925,2022-07-02,Termination (Involuntary),Redundancy
3942,2022-07-02,Termination (Involuntary),Redundancy
3948,2022-07-02,Termination (Involuntary),Redundancy
3986,2022-07-02,Termination (Involuntary),Redundancy
4034,2022-07-02,Termination (Involuntary),Redundancy
4147,2022-07-02,Termination (Involuntary),Redundancy
4228,2022-07-02,Termination (Involuntary),Redundancy
4236,2022-07-02,Termination (Involuntary),Redundancy
4500,2022-07-02,Termination (Involuntary),Redundancy
4595,2022-07-02,Termination (Involuntary),Redundancy
4596,2022-07-02,Termination (Involuntary),Redundancy
4861,2022-07-02,Termination (Involuntary),Redundancy
4869,2022-07-02,Termination (Involuntary),Redundancy
4886,2022-07-02,Termination (Involuntary),Redundancy
4917,2022-07-02,Termination (Involuntary),Redundancy
4944,2022-07-02,Termination (Involuntary),Redundancy
4946,2022-07-02,Termination (Involuntary),Redundancy
5085,2022-07-02,Termination (Involuntary),Redundancy
5089,2022-07-02,Termination (Involuntary),Redundancy
5099,2022-07-02,Termination (Involuntary),Redundancy
5105,2022-07-02,Termination (Involuntary),Redundancy
5168,2022-07-02,Termination (Involuntary),Redundancy
5260,2022-07-02,Termination (Involuntary),Redundancy
5418,2022-07-02,Termination (Involuntary),Redundancy
5431,2022-07-02,Termination (Involuntary),Redundancy
5436,2022-07-02,Termination (Involuntary),Redundancy
5604,2022-07-02,Termination (Involuntary),Redundancy
5632,2022-07-02,Termination (Involuntary),Redundancy
5634,2022-07-02,Termination (Involuntary),Redundancy
402,2022-07-01,Termination (Involuntary),Redundancy
407,2022-07-01,Termination (Involuntary),Redundancy
929,2022-07-01,Termination (Involuntary),Redundancy
1211,2022-07-01,Termination (Involuntary),Redundancy
1470,2022-07-01,Termination (Involuntary),Redundancy
1777,2022-07-01,Termination (Involuntary),Redundancy
1781,2022-07-01,Termination (Involuntary),Redundancy
1832,2022-07-01,Termination (Involuntary),Redundancy
2057,2022-07-01,Termination (Involuntary),Redundancy
2580,2022-07-01,Termination (Involuntary),Redundancy
3448,2022-07-01,Termination (Involuntary),Redundancy
3479,2022-07-01,Termination (Involuntary),Redundancy
3482,2022-07-01,Termination (Involuntary),Redundancy
3508,2022-07-01,Termination (Involuntary),Redundancy
3555,2022-07-01,Termination (Involuntary),Redundancy
3584,2022-07-01,Termination (Involuntary),Redundancy
3707,2022-07-01,Termination (Involuntary),Redundancy
3708,2022-07-01,Termination (Involuntary),Redundancy
3722,2022-07-01,Termination (Involuntary),Redundancy
3724,2022-07-01,Termination (Involuntary),Redundancy
3742,2022-07-01,Termination (Involuntary),Redundancy
3744,2022-07-01,Termination (Involuntary),Redundancy
3748,2022-07-01,Termination (Involuntary),Redundancy
3761,2022-07-01,Termination (Involuntary),Redundancy
3769,2022-07-01,Termination (Involuntary),Redundancy
3780,2022-07-01,Termination (Involuntary),Redundancy
3781,2022-07-01,Termination (Involuntary),Redundancy
3788,2022-07-01,Termination (Involuntary),Redundancy
3793,2022-07-01,Termination (Involuntary),Redundancy
3811,2022-07-01,Termination (Involuntary),Redundancy
3813,2022-07-01,Termination (Involuntary),Redundancy
3829,2022-07-01,Termination (Involuntary),Redundancy
3832,2022-07-01,Termination (Involuntary),Redundancy
3834,2022-07-01,Termination (Involuntary),Redundancy
3848,2022-07-01,Termination (Involuntary),Redundancy
3945,2022-07-01,Termination (Involuntary),Redundancy
3953,2022-07-01,Termination (Involuntary),Redundancy
3980,2022-07-01,Termination (Involuntary),Redundancy
4023,2022-07-01,Termination (Involuntary),Redundancy
4030,2022-07-01,Termination (Involuntary),Redundancy
4032,2022-07-01,Termination (Involuntary),Redundancy
4045,2022-07-01,Termination (Involuntary),Redundancy
4047,2022-07-01,Termination (Involuntary),Redundancy
4056,2022-07-01,Termination (Involuntary),Redundancy
4185,2022-07-01,Termination (Involuntary),Redundancy
4192,2022-07-01,Termination (Involuntary),Redundancy
4202,2022-07-01,Termination (Involuntary),Redundancy
4227,2022-07-01,Termination (Involuntary),Redundancy
4231,2022-07-01,Termination (Involuntary),Redundancy
4233,2022-07-01,Termination (Involuntary),Redundancy
4240,2022-07-01,Termination (Involuntary),Redundancy
4261,2022-07-01,Termination (Involuntary),Redundancy
4262,2022-07-01,Termination (Involuntary),Redundancy
4409,2022-07-01,Termination (Involuntary),Redundancy
4441,2022-07-01,Termination (Involuntary),Redundancy
4455,2022-07-01,Termination (Involuntary),Redundancy
4458,2022-07-01,Termination (Involuntary),Redundancy
4464,2022-07-01,Termination (Involuntary),Redundancy
4473,2022-07-01,Termination (Involuntary),Redundancy
4475,2022-07-01,Termination (Involuntary),Redundancy
4493,2022-07-01,Termination (Involuntary),Redundancy
4501,2022-07-01,Termination (Involuntary),Redundancy
4616,2022-07-01,Termination (Involuntary),Redundancy
4714,2022-07-01,Termination (Involuntary),Redundancy
4857,2022-07-01,Termination (Involuntary),Redundancy
4934,2022-07-01,Termination (Involuntary),Redundancy
4937,2022-07-01,Termination (Involuntary),Redundancy
5095,2022-07-01,Termination (Involuntary),Redundancy
5112,2022-07-01,Termination (Involuntary),Redundancy
5139,2022-07-01,Termination (Involuntary),Redundancy
5152,2022-07-01,Termination (Involuntary),Redundancy
5169,2022-07-01,Termination (Involuntary),Redundancy
5398,2022-07-01,Termination (Involuntary),Redundancy
5400,2022-07-01,Termination (Involuntary),Redundancy
5403,2022-07-01,Termination (Involuntary),Redundancy
5412,2022-07-01,Termination (Involuntary),Redundancy
5435,2022-07-01,Termination (Involuntary),Redundancy
320,2022-06-30,Termination (Involuntary),Redundancy
1016,2022-06-30,Termination (Involuntary),Redundancy
1065,2022-06-30,Termination (Involuntary),Redundancy
1169,2022-06-30,Termination (Involuntary),Redundancy
1279,2022-06-30,Termination (Involuntary),Redundancy
1360,2022-06-30,Termination (Involuntary),Redundancy
1436,2022-06-30,Termination (Involuntary),Redundancy
1466,2022-06-30,Termination (Involuntary),Redundancy
1705,2022-06-30,Termination (Involuntary),Redundancy
1713,2022-06-30,Termination (Involuntary),Redundancy
1752,2022-06-30,Termination (Involuntary),Redundancy
2049,2022-06-30,Termination (Involuntary),Redundancy
2058,2022-06-30,Termination (Involuntary),Redundancy
2061,2022-06-30,Termination (Involuntary),Redundancy
2104,2022-06-30,Termination (Involuntary),Redundancy
2132,2022-06-30,Termination (Involuntary),Redundancy
2134,2022-06-30,Termination (Involuntary),Redundancy
2136,2022-06-30,Termination (Involuntary),Redundancy
2266,2022-06-30,Termination (Involuntary),Redundancy
2439,2022-06-30,Termination (Involuntary),Redundancy
2574,2022-06-30,Termination (Involuntary),Redundancy
2576,2022-06-30,Termination (Involuntary),Redundancy
2642,2022-06-30,Termination (Involuntary),Redundancy
2645,2022-06-30,Termination (Involuntary),Redundancy
3012,2022-06-30,Termination (Involuntary),Redundancy
3450,2022-06-30,Termination (Involuntary),Redundancy
3526,2022-06-30,Termination (Involuntary),Redundancy
3590,2022-06-30,Termination (Involuntary),Redundancy
3602,2022-06-30,Termination (Involuntary),Redundancy
3709,2022-06-30,Termination (Involuntary),Redundancy
3717,2022-06-30,Termination (Involuntary),Redundancy
3740,2022-06-30,Termination (Involuntary),Redundancy
3778,2022-06-30,Termination (Involuntary),Redundancy
3790,2022-06-30,Termination (Involuntary),Redundancy
3791,2022-06-30,Termination (Involuntary),Redundancy
3808,2022-06-30,Termination (Involuntary),Redundancy
3828,2022-06-30,Termination (Involuntary),Redundancy
3949,2022-06-30,Termination (Involuntary),Redundancy
3951,2022-06-30,Termination (Involuntary),Redundancy
3957,2022-06-30,Termination (Involuntary),Redundancy
4006,2022-06-30,Termination (Involuntary),Redundancy
4042,2022-06-30,Termination (Involuntary),Redundancy
4046,2022-06-30,Termination (Involuntary),Redundancy
4051,2022-06-30,Termination (Involuntary),Redundancy
4061,2022-06-30,Termination (Involuntary),Redundancy
4174,2022-06-30,Termination (Involuntary),Redundancy
4176,2022-06-30,Termination (Involuntary),Redundancy
4217,2022-06-30,Termination (Involuntary),Redundancy
4244,2022-06-30,Termination (Involuntary),Redundancy
4247,2022-06-30,Termination (Involuntary),Redundancy
4256,2022-06-30,Termination (Involuntary),Redundancy
4349,2022-06-30,Termination (Involuntary),Redundancy
4353,2022-06-30,Termination (Involuntary),Redundancy
4369,2022-06-30,Termination (Involuntary),Redundancy
4469,2022-06-30,Termination (Involuntary),Redundancy
4479,2022-06-30,Termination (Involuntary),Redundancy
4482,2022-06-30,Termination (Involuntary),Redundancy
4654,2022-06-30,Termination (Involuntary),Redundancy
4661,2022-06-30,Termination (Involuntary),Redundancy
4665,2022-06-30,Termination (Involuntary),Redundancy
4667,2022-06-30,Termination (Involuntary),Redundancy
4683,2022-06-30,Termination (Involuntary),Redundancy
4699,2022-06-30,Termination (Involuntary),Redundancy
4707,2022-06-30,Termination (Involuntary),Redundancy
4847,2022-06-30,Termination (Involuntary),Redundancy
4849,2022-06-30,Termination (Involuntary),Redundancy
4855,2022-06-30,Termination (Involuntary),Redundancy
4881,2022-06-30,Termination (Involuntary),Redundancy
4882,2022-06-30,Termination (Involuntary),Redundancy
4884,2022-06-30,Termination (Involuntary),Redundancy
4897,2022-06-30,Termination (Involuntary),Redundancy
4904,2022-06-30,Termination (Involuntary),Redundancy
4931,2022-06-30,Termination (Involuntary),Redundancy
4933,2022-06-30,Termination (Involuntary),Redundancy
4943,2022-06-30,Termination (Involuntary),Redundancy
5082,2022-06-30,Termination (Involuntary),Redundancy
5094,2022-06-30,Termination (Involuntary),Redundancy
5102,2022-06-30,Termination (Involuntary),Redundancy
5104,2022-06-30,Termination (Involuntary),Redundancy
5106,2022-06-30,Termination (Involuntary),Redundancy
5113,2022-06-30,Termination (Involuntary),Redundancy
5124,2022-06-30,Termination (Involuntary),Redundancy
5135,2022-06-30,Termination (Involuntary),Redundancy
5136,2022-06-30,Termination (Involuntary),Redundancy
5138,2022-06-30,Termination (Involuntary),Redundancy
5172,2022-06-30,Termination (Involuntary),Redundancy
5232,2022-06-30,Termination (Involuntary),Redundancy
5235,2022-06-30,Termination (Involuntary),Redundancy
5395,2022-06-30,Termination (Involuntary),Redundancy
5420,2022-06-30,Termination (Involuntary),Redundancy
994,2022-06-29,Termination (Involuntary),Redundancy
1107,2022-06-29,Termination (Involuntary),Redundancy
1203,2022-06-29,Termination (Involuntary),Redundancy
1286,2022-06-29,Termination (Involuntary),Redundancy
1380,2022-06-29,Termination (Involuntary),Redundancy
1481,2022-06-29,Termination (Involuntary),Redundancy
1599,2022-06-29,Termination (Involuntary),Redundancy
1605,2022-06-29,Termination (Involuntary),Redundancy
1733,2022-06-29,Termination (Involuntary),Redundancy
1833,2022-06-29,Termination (Involuntary),Redundancy
1934,2022-06-29,Termination (Involuntary),Redundancy
2059,2022-06-29,Termination (Involuntary),Redundancy
2113,2022-06-29,Termination (Involuntary),Redundancy
2196,2022-06-29,Termination (Involuntary),Redundancy
2231,2022-06-29,Termination (Involuntary),Redundancy
2239,2022-06-29,Termination (Involuntary),Redundancy
2258,2022-06-29,Termination (Involuntary),Redundancy
2265,2022-06-29,Termination (Involuntary),Redundancy
2281,2022-06-29,Termination (Involuntary),Redundancy
2287,2022-06-29,Termination (Involuntary),Redundancy
2291,2022-06-29,Termination (Involuntary),Redundancy
2293,2022-06-29,Termination (Involuntary),Redundancy
2488,2022-06-29,Termination (Involuntary),Redundancy
2647,2022-06-29,Termination (Involuntary),Redundancy
2755,2022-06-29,Termination (Involuntary),Redundancy
3164,2022-06-29,Termination (Involuntary),Redundancy
3425,2022-06-29,Termination (Involuntary),Redundancy
3429,2022-06-29,Termination (Involuntary),Redundancy
3432,2022-06-29,Termination (Involuntary),Redundancy
3433,2022-06-29,Termination (Involuntary),Redundancy
3436,2022-06-29,Termination (Involuntary),Redundancy
3437,2022-06-29,Termination (Involuntary),Redundancy
3447,2022-06-29,Termination (Involuntary),Redundancy
3460,2022-06-29,Termination (Involuntary),Redundancy
3468,2022-06-29,Termination (Involuntary),Redundancy
3469,2022-06-29,Termination (Involuntary),Redundancy
3471,2022-06-29,Termination (Involuntary),Redundancy
3475,2022-06-29,Termination (Involuntary),Redundancy
3521,2022-06-29,Termination (Involuntary),Redundancy
3527,2022-06-29,Termination (Involuntary),Redundancy
3583,2022-06-29,Termination (Involuntary),Redundancy
3585,2022-06-29,Termination (Involuntary),Redundancy
3588,2022-06-29,Termination (Involuntary),Redundancy
3694,2022-06-29,Termination (Involuntary),Redundancy
3697,2022-06-29,Termination (Involuntary),Redundancy
3721,2022-06-29,Termination (Involuntary),Redundancy
3732,2022-06-29,Termination (Involuntary),Redundancy
3745,2022-06-29,Termination (Involuntary),Redundancy
3768,2022-06-29,Termination (Involuntary),Redundancy
3797,2022-06-29,Termination (Involuntary),Redundancy
3815,2022-06-29,Termination (Involuntary),Redundancy
3827,2022-06-29,Termination (Involuntary),Redundancy
3853,2022-06-29,Termination (Involuntary),Redundancy
3871,2022-06-29,Termination (Involuntary),Redundancy
3965,2022-06-29,Termination (Involuntary),Redundancy
4020,2022-06-29,Termination (Involuntary),Redundancy
4031,2022-06-29,Termination (Involuntary),Redundancy
4048,2022-06-29,Termination (Involuntary),Redundancy
4054,2022-06-29,Termination (Involuntary),Redundancy
4060,2022-06-29,Termination (Involuntary),Redundancy
4064,2022-06-29,Termination (Involuntary),Redundancy
4180,2022-06-29,Termination (Involuntary),Redundancy
4239,2022-06-29,Termination (Involuntary),Redundancy
4243,2022-06-29,Termination (Involuntary),Redundancy
4249,2022-06-29,Termination (Involuntary),Redundancy
4252,2022-06-29,Termination (Involuntary),Redundancy
4342,2022-06-29,Termination (Involuntary),Redundancy
4350,2022-06-29,Termination (Involuntary),Redundancy
