empnum,exitdate,exittype,exitreason
202,2022-11-12,Resignation (Voluntary),*Working Environment
1977,2022-08-25,Resignation (Voluntary),*Working Environment
2086,2022-01-11,Termination (Involuntary),Attendance
1228,2021-11-15,Termination (Involuntary),Attendance
510,2021-11-04,Termination (Involuntary),Attendance
1353,2021-05-27,Termination (Involuntary),Attendance
1238,2021-04-27,Termination (Involuntary),Attendance
364,2020-05-30,Termination (Involuntary),Attendance
1687,2023-02-10,Termination (Involuntary),Behavioral Issues
1358,2023-02-09,Termination (Involuntary),Behavioral Issues
2603,2023-02-08,Termination (Involuntary),Behavioral Issues
825,2023-01-05,Termination (Involuntary),Behavioral Issues
5609,2022-10-29,Termination (Involuntary),Behavioral Issues
241,2022-10-15,Termination (Involuntary),Behavioral Issues
1912,2022-10-03,Termination (Involuntary),Behavioral Issues
2226,2022-09-20,Termination (Involuntary),Behavioral Issues
1348,2022-09-09,Termination (Involuntary),Behavioral Issues
1070,2022-09-08,Termination (Involuntary),Behavioral Issues
4282,2022-06-28,Termination (Involuntary),Behavioral Issues
941,2022-06-08,Termination (Involuntary),Behavioral Issues
1562,2022-05-13,Termination (Involuntary),Behavioral Issues
1738,2022-05-13,Resignation (Voluntary),Behavioral Issues
4487,2022-04-15,Termination (Involuntary),Behavioral Issues
3009,2022-03-16,Termination (Involuntary),Behavioral Issues
1173,2022-02-11,Termination (Involuntary),Behavioral Issues
561,2021-11-22,Termination (Involuntary),Behavioral Issues
1850,2021-11-19,Termination (Involuntary),Behavioral Issues
396,2021-11-12,Termination (Involuntary),Behavioral Issues
910,2021-11-06,Termination (Involuntary),Behavioral Issues
2184,2021-10-27,Termination (Involuntary),Behavioral Issues
1151,2021-10-11,Termination (Involuntary),Behavioral Issues
1639,2021-10-07,Termination (Involuntary),Behavioral Issues
1214,2021-10-04,Termination (Involuntary),Behavioral Issues
1945,2021-10-04,Termination (Involuntary),Behavioral Issues
2362,2021-09-16,Termination (Involuntary),Behavioral Issues
1000,2021-09-14,Termination (Involuntary),Behavioral Issues
1218,2023-02-11,Resignation (Voluntary),Better Career Opportunity
1537,2023-02-10,Resignation (Voluntary),Better Career Opportunity
2434,2023-02-09,Resignation (Voluntary),Better Career Opportunity
2775,2023-02-08,Resignation (Voluntary),Better Career Opportunity
3181,2023-02-01,Resignation (Voluntary),Better Career Opportunity
774,2023-01-15,Resignation (Voluntary),Better Career Opportunity
1305,2023-01-14,Resignation (Voluntary),Better Career Opportunity
1444,2023-01-14,Resignation (Voluntary),Better Career Opportunity
1908,2023-01-13,Resignation (Voluntary),Better Career Opportunity
1223,2023-01-12,Resignation (Voluntary),Better Career Opportunity
4302,2023-01-11,Resignation (Voluntary),Better Career Opportunity
3619,2023-01-06,Resignation (Voluntary),Better Career Opportunity
442,2023-01-03,Resignation (Voluntary),Better Career Opportunity
4303,2023-01-01,Resignation (Voluntary),Better Career Opportunity
2085,2022-12-29,Resignation (Voluntary),Better Career Opportunity
2748,2022-12-29,Resignation (Voluntary),Better Career Opportunity
